Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg Vehicle Turnaround Time,Avg Customer Turnaround Time,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-03-23 00:00:00,12:29:38,"""CNR5884300""",No Driver Found,"""CID1982111""",eBike,Palam Vihar,Jhilmil,8.321474359,28.61575145,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-11-29 00:00:00,18:01:39,"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,4.9,14,0,Driver asked to cancel,0,More than permitted people in there,1,Vehicle Breakdown,237,5.73,4.22464455,4.404739336,UPI
2024-08-23 00:00:00,08:56:10,"""CNR8494506""",Completed,"""CID9202816""",Auto,Khandsa,Malviya Nagar,13.4,25.8,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,627,13.58,4.9,4.9,Debit Card
2024-10-21 00:00:00,17:17:25,"""CNR8906825""",Completed,"""CID2610914""",Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,416,34.02,4.6,5,UPI
2024-09-16 00:00:00,22:08:00,"""CNR1950162""",Completed,"""CID9933542""",Bike,Ghitorni Village,Khan Market,5.3,19.6,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,737,48.21,4.1,4.3,UPI
2024-02-06 00:00:00,09:44:56,"""CNR4096693""",Completed,"""CID4670564""",Auto,AIIMS,Narsinghpur,,18.1,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,316,,4.1,4.6,UPI
2024-06-17 00:00:00,15:45:58,"""CNR2002539""",Completed,"""CID6800553""",Go Mini,Vaishali,Punjabi Bagh,7.1,,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,640,41.24,4,4.1,UPI
2024-03-19 00:00:00,17:37:37,"""CNR6568000""",Completed,"""CID8610436""",Auto,Mayur Vihar,Cyber Hub,12.1,16.5,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,136,6.56,4.4,4.2,UPI
2024-09-14 00:00:00,12:49:09,"""CNR4510807""",No Driver Found,"""CID7873618""",Go Sedan,Noida Sector 62,Noida Sector 18,8.321474359,28.61575145,0,Driver asked to cancel,0,More than permitted people in there,0,Vehicle Breakdown,483.4566474,25.46128613,4.22464455,4.404739336,UPI
2024-12-16 00:00:00,19:06:48,"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,6.1,26,0,Driver asked to cancel,0,More than permitted people in there,1,Other Issue,135,10.36,4.22464455,4.404739336,Cash
